video_id,video_title,channel_name,keyword_used,comment_id,author,comment_text,language,published_at,like_count,is_reply,parent_comment_id
ac8866c0aLk,కలెక్టర్ కు చెప్పిన ..ఆరు నెలల్లో ఇల్లు కట్టిస్తాడు..CM Chandrababu | Satyanarayana | Mahaa News,Mahaa News,Chandrababu,Ugze9tyizehqz2-jX-14AaABAg,@kavyaramakrishna9524,The man is so selfless … he forgot for himself what he wants asking for his village not for him,en,2026-06-08T17:02:04Z,1,False,
ac8866c0aLk,కలెక్టర్ కు చెప్పిన ..ఆరు నెలల్లో ఇల్లు కట్టిస్తాడు..CM Chandrababu | Satyanarayana | Mahaa News,Mahaa News,Chandrababu,UgyqW6HeWPynyx6a25Z4AaABAg,@lalithavinnakota9172,మా బాబు గారు బంగారం ✌️🙏,te,2026-06-08T16:59:39Z,3,False,
ac8866c0aLk,కలెక్టర్ కు చెప్పిన ..ఆరు నెలల్లో ఇల్లు కట్టిస్తాడు..CM Chandrababu | Satyanarayana | Mahaa News,Mahaa News,Chandrababu,Ugyn_cQfAaXi4M-T9p94AaABAg,@srimannarayanacollections859,Cbn లాంటి సథ్యవంథుని బిడ్డ గా పొందిన ఆ తల్లీ తండ్రి జన్మ ధన్యం,te,2026-06-08T15:08:18Z,0,False,
ac8866c0aLk,కలెక్టర్ కు చెప్పిన ..ఆరు నెలల్లో ఇల్లు కట్టిస్తాడు..CM Chandrababu | Satyanarayana | Mahaa News,Mahaa News,Chandrababu,UgzkcRIistoGMy-9vfJ4AaABAg,@BrightOutlookZ,Lot's of love 💖💖💖💖💖so much happy.. hat's off CBN the Great 👍👍👍👍👍,en,2026-06-08T14:49:48Z,5,False,
lMfye4oL6mQ,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,Nara Chandrababu Naidu Official,Chandrababu,UgwYVVy4DbouZTXaua94AaABAg,@Score_Goal_07,"When our turn comes to meet  our CBN, waiting....",en,2026-06-08T16:56:34Z,1,False,
lMfye4oL6mQ,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,Nara Chandrababu Naidu Official,Chandrababu,UgyphC2E0MgW_a-3kZJ4AaABAg,@jaswanth9721,Bro sadinchav brooooo,en,2026-06-08T16:55:45Z,0,False,
lMfye4oL6mQ,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,Nara Chandrababu Naidu Official,Chandrababu,UgxbmKQ30pow6VbJiH54AaABAg,@surendraprasad1457,Satisfied Video...Jai..CBN 😊😊😊,en,2026-06-08T16:53:28Z,2,False,
lMfye4oL6mQ,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,Nara Chandrababu Naidu Official,Chandrababu,UgxxK7UZFBiQtxqCzPx4AaABAg,@tulasiramp4385,That is chandranna 👋👋👋,en,2026-06-08T16:50:41Z,2,False,
lMfye4oL6mQ,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,Nara Chandrababu Naidu Official,Chandrababu,UgzQkBbabq_rnSLal1h4AaABAg,@VijayGolla-k9h,"First focus on schools one class 30 numbers students different different fees 5th class student Divya pravalika narayan nuzvidu 29000  fees 12000 van fees 7500 book's fee's 2500 dress fee's to much of heigh fee's that's way birth baby's was down 
      Sir focus on schools",en,2026-06-08T16:12:46Z,0,False,
lMfye4oL6mQ,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,Nara Chandrababu Naidu Official,Chandrababu,UgyWfpNdjzv5yUo_7-x4AaABAg,@MCS__98,CBN Garu You are Great Sir mi Gurinche enta Cheppina Takkuvee ❤😊,en,2026-06-08T16:10:39Z,3,False,
lMfye4oL6mQ,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,Nara Chandrababu Naidu Official,Chandrababu,Ugz4Virj_-uSoNh-LLN4AaABAg,@Ravikiranhyper,"ఇంకేం కావాలి అంటే ఊరు గురుంచి చెప్తున్నాడే ❤❤❤, ఇంకొకరి సారి నీకేం కావాలంటే ఇల్లు అన్నాడు, సూపర్ 

jai cbn❤❤",te,2026-06-08T16:06:22Z,1,False,
lMfye4oL6mQ,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,Nara Chandrababu Naidu Official,Chandrababu,UgxG1liihTRB8-3pqeV4AaABAg,@akhilyella7411,"తాతగారు చంద్రబాబు నాయుడు గారిని సందర్శించిన తర్వాత ""అమృతం""😜 లాంటి అవకాశం పొంది, తన కోరికలన్నీ నెరవేర్చుకున్నారు. నాయకులు ఎల్లప్పుడూ తమ ప్రియమైనవారికి అండగా ఉంటారు👏👏",te,2026-06-08T16:02:19Z,6,False,
lMfye4oL6mQ,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,Nara Chandrababu Naidu Official,Chandrababu,UgybGegO8zwsUw1mwlN4AaABAg,@vsc2153,Great leader CBN SIR.❤.,en,2026-06-08T15:58:54Z,2,False,
lMfye4oL6mQ,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,Nara Chandrababu Naidu Official,Chandrababu,UgxLa2Y2YJQapb6Y7AF4AaABAg,@gowri7001,"The Great cm sir 
Jai cbn sir
Jai tdp❤❤❤❤❤❤❤",en,2026-06-08T15:52:23Z,2,False,
lMfye4oL6mQ,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,Nara Chandrababu Naidu Official,Chandrababu,Ugy-DKPf0Bt3adJBo354AaABAg,@gowri7001,Great sir,en,2026-06-08T15:51:09Z,3,False,
lMfye4oL6mQ,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,Nara Chandrababu Naidu Official,Chandrababu,UgyZSRzAjMlptJI3nrF4AaABAg,@FightforReality,"Good evening sir
I am from West Godavari district sir since 6months I am sending mails to nara lokesh sir regarding my family facing medical issues my sister and my father I am unable to pay medical treatments and my father age 62 years till now pension also not coming sir I am requesting u sir plz support to TDP family sir",en,2026-06-08T15:49:09Z,1,False,
lMfye4oL6mQ,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,Nara Chandrababu Naidu Official,Chandrababu,UgyGBkwwCRQQcZdFMc54AaABAg,@nv3s894,CBN sir is down to earth leader. Hats off sir for your generous towards your hardcore sympathisers. Their blesses always there for you and your party for LIVE LONG.,en,2026-06-08T15:32:00Z,7,False,
lMfye4oL6mQ,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,Nara Chandrababu Naidu Official,Chandrababu,UgysnBYjE6Iz4D-k2_x4AaABAg,@GuruP-s9c,👉👉👉 తాత ఆనందం చెప్పలేము   గ్రేట్ C B N సార్ 🙏🙏🙏🙏🙏✌️✌️✌️✌️✌️,te,2026-06-08T15:31:17Z,14,False,
lMfye4oL6mQ,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,Nara Chandrababu Naidu Official,Chandrababu,UgwQyPduFnDGN_EhezJ4AaABAg,@ananda1948,బాబుగారు మీ అవ్యాజమైన ప్రేమకు పాత్రుడైన ఈ పెద్దవారు అదృష్టవంతుడు ❤❤...,te,2026-06-08T15:25:17Z,27,False,
